OID_,ident,DateTimeSim,POINT_X,POINT_Y
4836,AAL324,4/7/2021 11:22:51,-77.02868864,39.0391085
5191,AAL327,4/7/2021 11:22:51,-77.78166609,39.01627338
5628,AAL2149,4/7/2021 11:22:51,-77.09622251,39.06092869
6036,AAL2248,4/7/2021 11:22:51,-76.99977955,39.18887451
6495,AAY1622,4/7/2021 11:22:51,-76.64066289,38.72789579
6744,ASH6006,4/7/2021 11:22:51,-77.71724094,38.80532268
7180,ASH6154,4/7/2021 11:22:51,-77.77858182,38.97595786
7408,AMX409,4/7/2021 11:22:51,-76.49354249,39.39568065
8022,ASH6263,4/7/2021 11:22:51,-77.7931036,38.95740917
8295,ASH6301,4/7/2021 11:22:51,-77.04619578,39.43085973
8885,ASQ4103,4/7/2021 11:22:51,-76.17224194,38.83547852
9085,ASQ4242,4/7/2021 11:22:51,-76.62371169,39.21794185
9528,ASQ4457,4/7/2021 11:22:51,-77.84419002,39.38873937
9774,ASQ4255,4/7/2021 11:22:51,-76.4058786,38.99856362
10002,AWI3982,4/7/2021 11:22:51,-77.57736314,38.68290713
10207,ASQ5146,4/7/2021 11:22:51,-76.3492711,38.7475296
10457,ASQ5209,4/7/2021 11:22:51,-76.1589709,38.68252774
10610,AWI4057,4/7/2021 11:22:51,-77.31037357,38.97469142
10961,ASQ5132,4/7/2021 11:22:51,-77.13241831,39.34990474
11513,DAL1469,4/7/2021 11:22:51,-77.75397395,39.0098819
11906,ASQ5477,4/7/2021 11:22:51,-77.82614977,39.39745119
12114,DAL1467,4/7/2021 11:22:51,-76.02187334,39.32652916
12226,AWI4121,4/7/2021 11:22:51,-77.32023574,38.97185551
12557,AWI3903,4/7/2021 11:22:51,-77.4967277,39.18750902
12876,DAL1946,4/7/2021 11:22:51,-76.04786187,38.66716483
12993,AWI876A,4/7/2021 11:22:51,-77.02089271,39.04855233
13375,DAL151,4/7/2021 11:22:51,-77.30300473,38.95710713
13742,DAL2039,4/7/2021 11:22:51,-76.69985644,38.71303636
14022,DAL1561,4/7/2021 11:22:51,-77.04306994,39.43267822
14597,DAL1437,4/7/2021 11:22:51,-77.64934481,39.45028571
106,AAL1072,4/7/2021 11:22:52,-78.06324186,39.30028433
216,AAL1227,4/7/2021 11:22:52,-77.03397977,38.71290425
360,AAL1435,4/7/2021 11:22:52,-76.77898713,38.70951094
780,AAL1202,4/7/2021 11:22:52,-77.31720361,38.99336446
1135,AAL1678,4/7/2021 11:22:52,-77.14246301,39.34037118
1695,AAL1710,4/7/2021 11:22:52,-77.35613293,38.83775584
2054,AAL1936,4/7/2021 11:22:52,-77.48337928,38.71213501
2331,AAL1970,4/7/2021 11:22:52,-76.71684082,38.7186862
2646,AAL2129,4/7/2021 11:22:52,-76.36402027,38.78189924
3065,AAL1992,4/7/2021 11:22:52,-76.56448112,39.34919346
3727,AAL2056,4/7/2021 11:22:52,-76.59779199,39.32824188
4286,AAL2072,4/7/2021 11:22:52,-76.65836404,38.71938906
4617,AAL2262,4/7/2021 11:22:52,-77.76706181,39.4247497
4837,AAL324,4/7/2021 11:22:52,-77.02549579,39.03883185
5192,AAL327,4/7/2021 11:22:52,-77.77861841,39.01548377
5629,AAL2149,4/7/2021 11:22:52,-77.09340223,39.05973403
6037,AAL2248,4/7/2021 11:22:52,-77.00215132,39.18719493
6496,AAY1622,4/7/2021 11:22:52,-76.63755188,38.72852125
6745,ASH6006,4/7/2021 11:22:52,-77.7144833,38.80660709
7181,ASH6154,4/7/2021 11:22:52,-77.77591839,38.97456127
7409,AMX409,4/7/2021 11:22:52,-76.49602381,39.39410367
8023,ASH6263,4/7/2021 11:22:52,-77.79004013,38.95816092
8296,ASH6301,4/7/2021 11:22:52,-77.04822701,39.4289372
8886,ASQ4103,4/7/2021 11:22:52,-76.17077906,38.83770649
9086,ASQ4242,4/7/2021 11:22:52,-76.62567687,39.21597281
9529,ASQ4457,4/7/2021 11:22:52,-77.84693876,39.38745409
9775,ASQ4255,4/7/2021 11:22:52,-76.4037376,39.00042509
10003,AWI3982,4/7/2021 11:22:52,-77.57973074,38.68121197
10208,ASQ5146,4/7/2021 11:22:52,-76.34698445,38.74928954
10458,ASQ5209,4/7/2021 11:22:52,-76.15660125,38.6842211
10611,AWI4057,4/7/2021 11:22:52,-77.31336365,38.97377795
10962,ASQ5132,4/7/2021 11:22:52,-77.13442305,39.34796344
11514,DAL1469,4/7/2021 11:22:52,-77.75093388,39.00907471
11907,ASQ5477,4/7/2021 11:22:52,-77.82889348,39.39615966
12115,DAL1467,4/7/2021 11:22:52,-76.01971003,39.32836641
12227,AWI4121,4/7/2021 11:22:52,-77.32321214,38.97091539
12558,AWI3903,4/7/2021 11:22:52,-77.49872117,39.18946171
12877,DAL1946,4/7/2021 11:22:52,-76.04596715,38.66919052
12994,AWI876A,4/7/2021 11:22:52,-77.01787754,39.0494136
13376,DAL151,4/7/2021 11:22:52,-77.30462349,38.95494919
13743,DAL2039,4/7/2021 11:22:52,-76.6973947,38.71464702
14023,DAL1561,4/7/2021 11:22:52,-77.0450678,39.43073499
14598,DAL1437,4/7/2021 11:22:52,-77.64613217,39.45028004
107,AAL1072,4/7/2021 11:22:53,-78.06610063,39.29915004
217,AAL1227,4/7/2021 11:22:53,-77.03355902,38.71538883
361,AAL1435,4/7/2021 11:22:53,-76.77679066,38.7113404
781,AAL1202,4/7/2021 11:22:53,-77.32040273,38.99313548
1136,AAL1678,4/7/2021 11:22:53,-77.14446752,39.33842948
1696,AAL1710,4/7/2021 11:22:53,-77.35729842,38.83542386
2055,AAL1936,4/7/2021 11:22:53,-77.48499072,38.70996631
2332,AAL1970,4/7/2021 11:22:53,-76.71402239,38.71988926
2647,AAL2129,4/7/2021 11:22:53,-76.3672096,38.78220045
3066,AAL1992,4/7/2021 11:22:53,-76.5669965,39.347648
3728,AAL2056,4/7/2021 11:22:53,-76.60028638,39.32667575
4287,AAL2072,4/7/2021 11:22:53,-76.65551376,38.72054554
4618,AAL2262,4/7/2021 11:22:53,-77.76978745,39.42343605
4838,AAL324,4/7/2021 11:22:53,-77.02230294,39.03855519
5193,AAL327,4/7/2021 11:22:53,-77.77557073,39.01469415
5630,AAL2149,4/7/2021 11:22:53,-77.09058194,39.05853936
6038,AAL2248,4/7/2021 11:22:53,-77.0045231,39.18551531
6497,AAY1622,4/7/2021 11:22:53,-76.63444088,38.72914671
6746,ASH6006,4/7/2021 11:22:53,-77.71172567,38.80789147
7182,ASH6154,4/7/2021 11:22:53,-77.77325495,38.97316464
7410,AMX409,4/7/2021 11:22:53,-76.49850513,39.39252665
8024,ASH6263,4/7/2021 11:22:53,-77.78695273,38.95885166
8297,ASH6301,4/7/2021 11:22:53,-77.05025824,39.42701462
8887,ASQ4103,4/7/2021 11:22:53,-76.16931618,38.83993439
9087,ASQ4242,4/7/2021 11:22:53,-76.62764205,39.21400371
9530,ASQ4457,4/7/2021 11:22:53,-77.8496875,39.38616879
9776,ASQ4255,4/7/2021 11:22:53,-76.40159659,39.00228652
10004,AWI3982,4/7/2021 11:22:53,-77.58209834,38.67951676
10209,ASQ5146,4/7/2021 11:22:53,-76.3446978,38.75104945
10459,ASQ5209,4/7/2021 11:22:53,-76.15423583,38.68591804
10612,AWI4057,4/7/2021 11:22:53,-77.31635372,38.97286448
10963,ASQ5132,4/7/2021 11:22:53,-77.13642779,39.34602209
11515,DAL1469,4/7/2021 11:22:53,-77.74789381,39.00826751
11908,ASQ5477,4/7/2021 11:22:53,-77.83163718,39.39486811
12116,DAL1467,4/7/2021 11:22:53,-76.01754672,39.33020361
12228,AWI4121,4/7/2021 11:22:53,-77.32618854,38.96997526
12559,AWI3903,4/7/2021 11:22:53,-77.50071464,39.19141435
12878,DAL1946,4/7/2021 11:22:53,-76.04407243,38.67121615
12995,AWI876A,4/7/2021 11:22:53,-77.01486237,39.05027485
13377,DAL151,4/7/2021 11:22:53,-77.30624224,38.95279118
13744,DAL2039,4/7/2021 11:22:53,-76.69493295,38.71625765
14024,DAL1561,4/7/2021 11:22:53,-77.04706566,39.4287917
14599,DAL1437,4/7/2021 11:22:53,-77.64291977,39.45024861
108,AAL1072,4/7/2021 11:22:54,-78.06895941,39.29801572
218,AAL1227,4/7/2021 11:22:54,-77.03339624,38.71789228
362,AAL1435,4/7/2021 11:22:54,-76.77459419,38.7131698
782,AAL1202,4/7/2021 11:22:54,-77.32360184,38.9929065
1137,AAL1678,4/7/2021 11:22:54,-77.14647203,39.33648772
1697,AAL1710,4/7/2021 11:22:54,-77.35846392,38.83309181
2056,AAL1936,4/7/2021 11:22:54,-77.48660216,38.70779754
2333,AAL1970,4/7/2021 11:22:54,-76.71120397,38.72109231
2648,AAL2129,4/7/2021 11:22:54,-76.37039894,38.78250166
3067,AAL1992,4/7/2021 11:22:54,-76.56951187,39.34610251
3729,AAL2056,4/7/2021 11:22:54,-76.60278077,39.32510958
4288,AAL2072,4/7/2021 11:22:54,-76.65266349,38.72170199
4619,AAL2262,4/7/2021 11:22:54,-77.77251309,39.42212237
4839,AAL324,4/7/2021 11:22:54,-77.01911009,39.03827853
5194,AAL327,4/7/2021 11:22:54,-77.77252305,39.01390451
5631,AAL2149,4/7/2021 11:22:54,-77.08776165,39.05734466
6039,AAL2248,4/7/2021 11:22:54,-77.00689487,39.18383565
6498,AAY1622,4/7/2021 11:22:54,-76.63132987,38.72977216
6747,ASH6006,4/7/2021 11:22:54,-77.70896803,38.80917583
7183,ASH6154,4/7/2021 11:22:54,-77.77059151,38.97176799
7411,AMX409,4/7/2021 11:22:54,-76.50098645,39.39094959
8025,ASH6263,4/7/2021 11:22:54,-77.78386532,38.95954238
8298,ASH6301,4/7/2021 11:22:54,-77.05228947,39.42509199
8888,ASQ4103,4/7/2021 11:22:54,-76.1678533,38.84216223
9088,ASQ4242,4/7/2021 11:22:54,-76.62960723,39.21203455
9531,ASQ4457,4/7/2021 11:22:54,-77.85243624,39.38488346
9777,ASQ4255,4/7/2021 11:22:54,-76.39945559,39.0041479
10005,AWI3982,4/7/2021 11:22:54,-77.58446594,38.67782151
10210,ASQ5146,4/7/2021 11:22:54,-76.34241114,38.75280931
10460,ASQ5209,4/7/2021 11:22:54,-76.1518704,38.68761494
10613,AWI4057,4/7/2021 11:22:54,-77.3193438,38.97195099
10964,ASQ5132,4/7/2021 11:22:54,-77.13843253,39.34408069
11516,DAL1469,4/7/2021 11:22:54,-77.74485373,39.0074603
11909,ASQ5477,4/7/2021 11:22:54,-77.83438088,39.39357654
12117,DAL1467,4/7/2021 11:22:54,-76.01538341,39.33204077
12229,AWI4121,4/7/2021 11:22:54,-77.32916494,38.96903512
12560,AWI3903,4/7/2021 11:22:54,-77.50270811,39.19336693
12879,DAL1946,4/7/2021 11:22:54,-76.04217771,38.67324173
12996,AWI876A,4/7/2021 11:22:54,-77.01184719,39.05113609
13378,DAL151,4/7/2021 11:22:54,-77.307861,38.95063311
13745,DAL2039,4/7/2021 11:22:54,-76.69210119,38.71731294
14025,DAL1561,4/7/2021 11:22:54,-77.04906351,39.42684836
14600,DAL1437,4/7/2021 11:22:54,-77.63970738,39.450217
109,AAL1072,4/7/2021 11:22:55,-78.07181818,39.29688139
219,AAL1227,4/7/2021 11:22:55,-77.03323345,38.72039564
363,AAL1435,4/7/2021 11:22:55,-76.77239772,38.71499916
783,AAL1202,4/7/2021 11:22:55,-77.32680096,38.99267752
1138,AAL1678,4/7/2021 11:22:55,-77.14847655,39.33454591
1698,AAL1710,4/7/2021 11:22:55,-77.35962941,38.83075968
2057,AAL1936,4/7/2021 11:22:55,-77.4882136,38.70562871
2334,AAL1970,4/7/2021 11:22:55,-76.70838554,38.72229533
2649,AAL2129,4/7/2021 11:22:55,-76.37358827,38.78280286
3068,AAL1992,4/7/2021 11:22:55,-76.57202725,39.34455699
